date,UTCtime,ping,download,upload,server
2018-02-27,19:40:02.187122,53.597,53.884,10.318,TekLinks
2018-02-27,19:50:02.611014,51.684,82.709,11.315,TekLinks
2018-02-27,20:00:03.019600,58.577,78.132,11.406,TekLinks
2018-02-27,20:10:02.330726,401.294,69.533,11.551,TekLinks
2018-02-27,20:20:02.689372,51.677,83.835,11.521,TekLinks
2018-02-27,20:30:07.687224,51.971,78.422,10.983,TekLinks
2018-02-27,20:40:02.578827,55.329,80.814,11.467,TekLinks
2018-02-27,20:50:02.989948,50.779,57.715,11.383,TekLinks
2018-02-27,21:00:01.695851,675.561,83.88,11.364,TekLinks
2018-02-27,21:10:02.114416,52.39,82.519,11.369,TekLinks
2018-02-27,21:20:01.984238,51.404,63.378,11.432,TekLinks
2018-02-27,21:30:09.465043,51.32,81.453,11.476,TekLinks
2018-02-27,21:40:02.081017,50.508,80.583,11.519,TekLinks
2018-02-27,21:50:02.054344,571.951,78.166,11.209,TekLinks
2018-02-27,22:00:08.418992,51.649,81.249,11.253,TekLinks
2018-02-27,22:10:03.156336,56.783,82.53,10.619,TekLinks
2018-02-27,22:20:02.708946,282.38,74.455,10.786,TekLinks
2018-02-27,22:30:06.711726,54.861,77.992,11.438,TekLinks
2018-02-27,22:40:02.622810,52.981,79.385,11.371,TekLinks
2018-02-27,22:50:05.042406,50.641,83.729,11.033,TekLinks
2018-02-27,23:00:07.291082,371.316,79.823,11.435,TekLinks
2018-02-27,23:10:01.881922,57.519,83.008,11.344,TekLinks
2018-02-27,23:20:01.564791,54.006,85.38,11.307,TekLinks
2018-02-27,23:30:02.707258,51.578,83.201,11.385,TekLinks
2018-02-27,23:40:02.833285,55.431,83.455,11.393,TekLinks
2018-02-27,23:50:02.441515,49.99,60.081,11.414,TekLinks
2018-02-28,00:00:09.957776,54.403,82.402,11.138,TekLinks
2018-02-28,00:10:02.447512,51.35,82.351,11.487,TekLinks
2018-02-28,00:20:02.215520,57.456,79.168,11.371,TekLinks
2018-02-28,00:30:02.383713,610.982,79.837,11.374,TekLinks
2018-02-28,00:40:03.351727,53.073,78.029,11.414,TekLinks
2018-02-28,00:50:02.853916,53.443,19.287,10.501,TekLinks
2018-02-28,01:00:09.087877,702.854,74.247,11.333,TekLinks
2018-02-28,01:10:02.561934,118.501,77.317,11.258,TekLinks
2018-02-28,01:20:01.977789,52.909,82.71,11.432,TekLinks
2018-02-28,01:30:02.430320,51.066,80.355,11.119,TekLinks
2018-02-28,01:40:02.287191,53.605,75.911,11.423,TekLinks
2018-02-28,01:50:02.420510,51.944,47.404,11.335,TekLinks
2018-02-28,02:00:08.430319,52.899,80.566,11.122,TekLinks
2018-02-28,02:10:02.511846,51.696,48.868,11.354,TekLinks
2018-02-28,02:20:02.250989,51.011,78.959,11.054,TekLinks
2018-02-28,02:30:02.035705,363.907,80.864,11.282,TekLinks
2018-02-28,02:40:02.562388,58.111,81.422,11.394,TekLinks
2018-02-28,02:50:02.351462,54.895,78.601,10.624,TekLinks
2018-02-28,03:00:10.756073,54.874,56.942,11.499,TekLinks
2018-02-28,03:10:02.437455,51.743,78.433,11.372,TekLinks
2018-02-28,03:20:02.060687,52.403,57.17,11.242,TekLinks
2018-02-28,03:30:01.790321,52.973,77.316,11.079,TekLinks
2018-02-28,03:40:02.171875,55.925,80.73,11.359,TekLinks
2018-02-28,03:50:02.086488,50.945,47.082,11.563,TekLinks
2018-02-28,04:00:05.759807,49.757,83.288,11.373,TekLinks
2018-02-28,04:10:02.214180,54.0,81.434,11.381,TekLinks
2018-02-28,04:20:01.728919,320.204,76.733,11.271,TekLinks
2018-02-28,04:30:02.124258,682.932,80.628,8.807,TekLinks
2018-02-28,04:40:01.895487,53.34,68.676,11.45,TekLinks
2018-02-28,04:50:02.076442,51.619,58.699,11.553,TekLinks
2018-02-28,05:00:09.412312,271.204,79.548,11.135,TekLinks
2018-02-28,05:10:02.624903,54.38,53.026,11.31,TekLinks
2018-02-28,05:20:02.791908,50.855,81.364,11.421,TekLinks
2018-02-28,05:30:02.163937,54.245,73.066,11.457,TekLinks
2018-02-28,05:40:01.822934,92.028,80.084,11.289,TekLinks
2018-02-28,05:50:01.915015,52.758,80.741,11.312,TekLinks
2018-02-28,06:00:08.840910,51.124,83.305,11.369,TekLinks
2018-02-28,06:10:02.737109,52.024,82.094,11.279,TekLinks
2018-02-28,06:20:02.177885,51.902,80.265,11.326,TekLinks
2018-02-28,06:30:02.725219,196.168,85.819,11.494,TekLinks
2018-02-28,06:40:02.510568,54.52,76.343,11.107,TekLinks
2018-02-28,06:50:02.236369,53.458,84.258,11.309,TekLinks
2018-02-28,07:00:07.393425,489.24,82.774,11.085,TekLinks
2018-02-28,07:10:01.895958,53.321,81.34,10.465,TekLinks
2018-02-28,07:20:01.991101,52.366,81.939,9.015,TekLinks
2018-02-28,07:30:03.186766,51.795,67.825,11.478,TekLinks
2018-02-28,07:40:02.245645,54.78,64.203,11.336,TekLinks
2018-02-28,07:50:01.916567,49.852,72.884,11.274,TekLinks
2018-02-28,08:00:10.590423,51.714,82.577,11.486,TekLinks
2018-02-28,08:10:02.161711,54.792,55.416,11.246,TekLinks
2018-02-28,08:20:02.121100,51.076,59.008,11.28,TekLinks
2018-02-28,08:30:01.969187,441.119,73.935,11.296,TekLinks
2018-02-28,08:40:02.408889,49.776,82.384,11.549,TekLinks
2018-02-28,08:50:02.176517,53.826,84.344,11.438,TekLinks
2018-02-28,09:00:08.449795,50.623,83.895,11.325,TekLinks
2018-02-28,09:10:02.101716,52.143,82.864,11.264,TekLinks
2018-02-28,09:20:01.861398,50.397,55.882,11.577,TekLinks
2018-02-28,09:30:02.551790,376.094,73.036,11.318,TekLinks
2018-02-28,09:40:02.639893,50.158,83.968,11.532,TekLinks
2018-02-28,09:50:02.357233,55.796,82.209,11.413,TekLinks
2018-02-28,10:00:07.474433,50.369,83.878,11.341,TekLinks
2018-02-28,10:10:02.138047,54.551,79.996,11.505,TekLinks
2018-02-28,10:20:02.120262,50.715,84.677,11.366,TekLinks
2018-02-28,10:30:06.514622,53.309,84.306,11.455,TekLinks
2018-02-28,10:40:02.621647,460.275,82.858,11.582,TekLinks
2018-02-28,10:50:02.404623,50.691,83.773,11.541,TekLinks
2018-02-28,11:00:01.841995,530.777,82.885,11.376,TekLinks
2018-02-28,11:10:09.366400,591.426,80.127,11.338,TekLinks
2018-02-28,11:20:02.612953,221.717,81.302,11.562,TekLinks
2018-02-28,11:30:02.264230,524.524,85.636,11.371,TekLinks
2018-02-28,11:40:02.028528,50.842,83.112,11.563,TekLinks
2018-02-28,11:50:01.577219,54.619,65.616,11.568,TekLinks
2018-02-28,12:00:05.761473,51.073,82.835,11.625,TekLinks
2018-02-28,12:10:02.881825,53.046,73.082,11.127,TekLinks
2018-02-28,12:20:01.615550,51.275,83.73,11.529,TekLinks
2018-02-28,12:30:01.767690,51.456,80.813,11.153,TekLinks
2018-02-28,12:40:03.190020,52.07,81.025,11.192,TekLinks
2018-02-28,12:50:02.708109,251.996,82.218,11.357,TekLinks
2018-02-28,13:00:06.865444,52.07,84.01,11.257,TekLinks
2018-02-28,13:10:02.436552,53.763,85.294,11.01,TekLinks
2018-02-28,13:20:02.451664,52.004,78.93,11.41,TekLinks
2018-02-28,13:30:01.974435,51.071,81.414,11.414,TekLinks
2018-02-28,13:40:02.510518,53.502,83.208,11.498,TekLinks
2018-02-28,13:50:02.106465,53.3,66.444,11.373,TekLinks
2018-02-28,14:00:08.190426,52.912,80.992,11.435,TekLinks
2018-02-28,14:10:02.368201,50.952,67.301,11.431,TekLinks
2018-02-28,14:20:02.322535,49.703,80.328,11.357,TekLinks
2018-02-28,14:30:02.294668,52.05,84.247,11.403,TekLinks
2018-02-28,14:40:01.917385,59.94,83.912,11.245,TekLinks
2018-02-28,14:50:02.393419,56.857,69.193,11.378,TekLinks
2018-02-28,15:00:06.831797,50.672,81.903,11.182,TekLinks
2018-02-28,15:10:02.491920,56.452,80.116,11.501,TekLinks
2018-02-28,15:20:02.495907,50.615,83.429,11.45,TekLinks
